equipo,link,logo,cod_equipo,cod_liga,liga,url_squad,url_matches_equipo,url_seasonstats,equipo_folder
AFC Bournemouth,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/afc-bournemouth/1pse9ta7a45pi2w2grjim70ge,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=1pse9ta7a45pi2w2grjim70ge,1pse9ta7a45pi2w2grjim70ge,51r6ph2woavlbbpk8f29nynf8,premier-league-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=1pse9ta7a45pi2w2grjim70ge&tmcl=51r6ph2woavlbbpk8f29nynf8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W396fc7e555e9299d958283850dfc361f9d254a809,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&ctst=1pse9ta7a45pi2w2grjim70ge&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3cb3f84d4ef29b0e249287eb9676a9fdf07692e09,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&ctst=1pse9ta7a45pi2w2grjim70ge&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3784c20ec6b2facf0a7bf6d8748ba616e552792a3,AFC_Bournemouth
Arsenal FC,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/arsenal-fc/4dsgumo7d4zupm2ugsvm4zm4d,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=4dsgumo7d4zupm2ugsvm4zm4d,4dsgumo7d4zupm2ugsvm4zm4d,51r6ph2woavlbbpk8f29nynf8,premier-league-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=4dsgumo7d4zupm2ugsvm4zm4d&tmcl=51r6ph2woavlbbpk8f29nynf8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3262dcc62df24754f3921f126814e6d1cebc33959,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&ctst=4dsgumo7d4zupm2ugsvm4zm4d&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3b9d98d39e518478d95d9f4015a27087965211190,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&ctst=4dsgumo7d4zupm2ugsvm4zm4d&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W336fe0ac6364517b9fb647925d3e189d65ac8496f,Arsenal_FC
Aston Villa FC,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/aston-villa-fc/b496gs285it6bheuikox6z9mj,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=b496gs285it6bheuikox6z9mj,b496gs285it6bheuikox6z9mj,51r6ph2woavlbbpk8f29nynf8,premier-league-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=b496gs285it6bheuikox6z9mj&tmcl=51r6ph2woavlbbpk8f29nynf8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3f8a3e8512f8d29ed58ca5fffaf29425f1b6ea7a3,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&ctst=b496gs285it6bheuikox6z9mj&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3bcc6c2b67b515aa826d336d89ab4cf5fc064fe07,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&ctst=b496gs285it6bheuikox6z9mj&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3f9b87af42367c300768a0b07a170f45819256144,Aston_Villa_FC
Brentford FC,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/brentford-fc/7yx5dqhhphyvfisohikodajhv,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=7yx5dqhhphyvfisohikodajhv,7yx5dqhhphyvfisohikodajhv,51r6ph2woavlbbpk8f29nynf8,premier-league-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=7yx5dqhhphyvfisohikodajhv&tmcl=51r6ph2woavlbbpk8f29nynf8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3541b2acd81bd749f778a8a9a0cb9cdd7399cb8f7,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&ctst=7yx5dqhhphyvfisohikodajhv&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3883ab20271c130b3c037152663fee8bd4942d6d7,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&ctst=7yx5dqhhphyvfisohikodajhv&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3ce7cf0b1b195547d7b31472974112df9d24ed14e,Brentford_FC
Brighton & Hove Albion FC,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/brighton-hove-albion-fc/e5p0ehyguld7egzhiedpdnc3w,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=e5p0ehyguld7egzhiedpdnc3w,e5p0ehyguld7egzhiedpdnc3w,51r6ph2woavlbbpk8f29nynf8,premier-league-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=e5p0ehyguld7egzhiedpdnc3w&tmcl=51r6ph2woavlbbpk8f29nynf8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W323d487fa40c76237b0f59e03db295477a916a38d,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&ctst=e5p0ehyguld7egzhiedpdnc3w&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W31995d035c7fdd78be3859cc067b2aa4551f125a9,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&ctst=e5p0ehyguld7egzhiedpdnc3w&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3aadd9cc0ed8d27498ed33c08d98fb67a9a6e9920,Brighton_&_Hove_Albion_FC
Burnley FC,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/burnley-fc/64bxxwu2mv2qqlv0monbkj1om,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=64bxxwu2mv2qqlv0monbkj1om,64bxxwu2mv2qqlv0monbkj1om,51r6ph2woavlbbpk8f29nynf8,premier-league-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=64bxxwu2mv2qqlv0monbkj1om&tmcl=51r6ph2woavlbbpk8f29nynf8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3353e0c32ded5d067eb0e4d7ef39944140017a602,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&ctst=64bxxwu2mv2qqlv0monbkj1om&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3138f5ba5df3b8ab9b913c5409999ba3cb2780360,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&ctst=64bxxwu2mv2qqlv0monbkj1om&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3e4ca648304745c9a300d562e0a388cfd60a91a3d,Burnley_FC
Chelsea FC,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/chelsea-fc/9q0arba2kbnywth8bkxlhgmdr,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=9q0arba2kbnywth8bkxlhgmdr,9q0arba2kbnywth8bkxlhgmdr,51r6ph2woavlbbpk8f29nynf8,premier-league-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=9q0arba2kbnywth8bkxlhgmdr&tmcl=51r6ph2woavlbbpk8f29nynf8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3677e04aaa271ed2f843087f54a3f530666475158,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&ctst=9q0arba2kbnywth8bkxlhgmdr&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W36537485f5184a13bc3fcf5b245e089b2e46f7ac5,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&ctst=9q0arba2kbnywth8bkxlhgmdr&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W355aa835f2a3552392ce4302fc011784dcda26381,Chelsea_FC
Crystal Palace FC,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/crystal-palace-fc/1c8m2ko0wxq1asfkuykurdr0y,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=1c8m2ko0wxq1asfkuykurdr0y,1c8m2ko0wxq1asfkuykurdr0y,51r6ph2woavlbbpk8f29nynf8,premier-league-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=1c8m2ko0wxq1asfkuykurdr0y&tmcl=51r6ph2woavlbbpk8f29nynf8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3d1a6fc9b8b1ac8aaaee331eba704ec08f1912826,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&ctst=1c8m2ko0wxq1asfkuykurdr0y&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W310a1ac0a7c3490fad1cee8671ddcdbe0716e8c37,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&ctst=1c8m2ko0wxq1asfkuykurdr0y&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3a118601cac47cab68f9556d1096bdc61d675a5aa,Crystal_Palace_FC
Everton FC,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/everton-fc/ehd2iemqmschhj2ec0vayztzz,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=ehd2iemqmschhj2ec0vayztzz,ehd2iemqmschhj2ec0vayztzz,51r6ph2woavlbbpk8f29nynf8,premier-league-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=ehd2iemqmschhj2ec0vayztzz&tmcl=51r6ph2woavlbbpk8f29nynf8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3a2973bb53f6f6aad8cf216a4dfbd1d70e988f307,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&ctst=ehd2iemqmschhj2ec0vayztzz&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W342b1058dbf52ca96af21d2149e45c8ebb11f968f,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&ctst=ehd2iemqmschhj2ec0vayztzz&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W39e461e921bbbbd0479a4928630a1b6607f16382e,Everton_FC
Fulham FC,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/fulham-fc/hzqh7z0mdl3v7gwete66syxp,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=hzqh7z0mdl3v7gwete66syxp,hzqh7z0mdl3v7gwete66syxp,51r6ph2woavlbbpk8f29nynf8,premier-league-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=hzqh7z0mdl3v7gwete66syxp&tmcl=51r6ph2woavlbbpk8f29nynf8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W399885546cbcbca71b114b4e7bd2c720672cb0a4a,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&ctst=hzqh7z0mdl3v7gwete66syxp&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W38574095f0fc34593aa50c2156c67e41476f7f0d1,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&ctst=hzqh7z0mdl3v7gwete66syxp&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W31920fa5aae16ec64610bceab618fb2f0701b6130,Fulham_FC
