temporada,link,liga_url,cod_liga,folder
2025/2026,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/fixtures,premier-league-2025-2026,51r6ph2woavlbbpk8f29nynf8,England_Premier_League
2024/2025,https://www.scoresway.com/en_GB/soccer/premier-league-2024-2025/9n12waklv005j8r32sfjj2eqc/fixtures,premier-league-2024-2025,9n12waklv005j8r32sfjj2eqc,England_Premier_League
2023/2024,https://www.scoresway.com/en_GB/soccer/premier-league-2023-2024/1jt5mxgn4q5r6mknmlqv5qjh0/results,premier-league-2023-2024,1jt5mxgn4q5r6mknmlqv5qjh0,England_Premier_League
2022/2023,https://www.scoresway.com/en_GB/soccer/premier-league-2022-2023/80foo89mm28qjvyhjzlpwj28k/results,premier-league-2022-2023,80foo89mm28qjvyhjzlpwj28k,England_Premier_League
2021/2022,https://www.scoresway.com/en_GB/soccer/premier-league-2021-2022/8l3o9v8n8tva0bb2cds2dhatw/results,premier-league-2021-2022,8l3o9v8n8tva0bb2cds2dhatw,England_Premier_League
2020/2021,https://www.scoresway.com/en_GB/soccer/premier-league-2020-2021/8g80ydy1enmztpyanmadpofoq/results,premier-league-2020-2021,8g80ydy1enmztpyanmadpofoq,England_Premier_League
2019/2020,https://www.scoresway.com/en_GB/soccer/premier-league-2019-2020/cpx9us94rxtkp57lqq9tpjyi2/results,premier-league-2019-2020,cpx9us94rxtkp57lqq9tpjyi2,England_Premier_League
2018/2019,https://www.scoresway.com/en_GB/soccer/premier-league-2018-2019/6nffa62hna5tvrgg59u8wze5m/results,premier-league-2018-2019,6nffa62hna5tvrgg59u8wze5m,England_Premier_League
2017/2018,https://www.scoresway.com/en_GB/soccer/premier-league-2017-2018/1pnncrpxn8wm3s9opk8n9ozxl/results,premier-league-2017-2018,1pnncrpxn8wm3s9opk8n9ozxl,England_Premier_League
2016/2017,https://www.scoresway.com/en_GB/soccer/premier-league-2016-2017/2c1fh40r28amu4rgz0q66ago9/results,premier-league-2016-2017,2c1fh40r28amu4rgz0q66ago9,England_Premier_League
2015/2016,https://www.scoresway.com/en_GB/soccer/premier-league-2015-2016/5wh9ugb0hxaogfh3vu6wz7g89/results,premier-league-2015-2016,5wh9ugb0hxaogfh3vu6wz7g89,England_Premier_League
2014/2015,https://www.scoresway.com/en_GB/soccer/premier-league-2014-2015/ei4cs3b71txhbdb6d4m3bnzgn/results,premier-league-2014-2015,ei4cs3b71txhbdb6d4m3bnzgn,England_Premier_League
2013/2014,https://www.scoresway.com/en_GB/soccer/premier-league-2013-2014/61cevcp5a0f6v4du3hgk4kpew/results,premier-league-2013-2014,61cevcp5a0f6v4du3hgk4kpew,England_Premier_League
2012/2013,https://www.scoresway.com/en_GB/soccer/premier-league-2012-2013/9ztmbe92dqh6mok3y2uhqbmj9/results,premier-league-2012-2013,9ztmbe92dqh6mok3y2uhqbmj9,England_Premier_League
2011/2012,https://www.scoresway.com/en_GB/soccer/premier-league-2011-2012/1aqodi7mi3e6qim45tbyh0ogl/results,premier-league-2011-2012,1aqodi7mi3e6qim45tbyh0ogl,England_Premier_League
2010/2011,https://www.scoresway.com/en_GB/soccer/premier-league-2010-2011/9d9khxp5tlx4cz2gpub8rq4lx/results,premier-league-2010-2011,9d9khxp5tlx4cz2gpub8rq4lx,England_Premier_League
2009/2010,https://www.scoresway.com/en_GB/soccer/premier-league-2009-2010/1hjsr7329xgf2jhkwwssjwo2d/results,premier-league-2009-2010,1hjsr7329xgf2jhkwwssjwo2d,England_Premier_League
2008/2009,https://www.scoresway.com/en_GB/soccer/premier-league-2008-2009/2ubsztdl1s2lqxwsytsl7jpw5/results,premier-league-2008-2009,2ubsztdl1s2lqxwsytsl7jpw5,England_Premier_League
